risk_decile,policies,exposure,actual_pure_premium,predicted_pure_premium,baseline_premium,avg_frequency,actual_lift_vs_portfolio,predicted_lift_vs_portfolio
Decile 1,16951,5932.97257728872,15.480412676418714,20.866247900106814,81.42202370100715,0.11597530483689765,0.21864446213293165,0.2947136904044552
Decile 2,16950,7226.423635751179,26.69453063821283,28.772080997490637,81.42202370100715,0.09412619860952931,0.3770320220322039,0.406375224332639
Decile 3,16950,8148.341828729695,35.86253972274158,35.6817948676922,81.42202370100715,0.1177046347008998,0.5065204573224416,0.5039676273403464
Decile 4,16951,9605.518660827905,40.11022642746199,42.69449097978198,81.42202370100715,0.12126666626239611,0.5665145410898295,0.6030145456350522
Decile 5,16950,9785.602965042293,48.569908439453464,49.869344052624896,81.42202370100715,0.09161646738137347,0.6859986053709517,0.7043517595572761
Decile 6,16950,9852.321100381765,55.95816693505306,57.6034310843319,81.42202370100715,0.0848197252132782,0.7903499452632128,0.813587561889134
Decile 7,16951,9505.146266187588,62.39106431984967,66.21813436082705,81.42202370100715,0.0922840083385217,0.8812078195366644,0.9352611376325833
Decile 8,16950,9424.763359532899,79.25932579376696,77.58504198260746,81.42202370100715,0.1282419317677813,1.1194541786082448,1.0958066899397754
Decile 9,16950,9532.365671083166,95.67844720793798,96.56993734952152,81.42202370100715,0.12417783714001342,1.351356909196641,1.363948264903861
Decile 10,16951,10523.772732240437,198.3743349062969,179.73566866516546,81.42202370100715,0.20539880290450033,2.801827746015843,2.5385762913969865
